nummosquitos,cool_7,heat_10,species_CULEX PIPIENS,weekofyear,dewpoint_10,species_CULEX RESTUANS,resultspeed,wnvpresencefreq,close_to_top_traps,wnvpresent
1,1.7142857142857142,1.8,0,22,50.3,0,5.8,0.0,1.8805555555555555,0
1,1.7142857142857142,1.8,0,22,50.3,1,5.8,0.0,1.8805555555555555,0
1,1.7142857142857142,1.8,0,22,50.3,1,5.8,0.0,1.8805555555555555,0
1,1.7142857142857142,1.8,0,22,50.3,0,5.8,0.0,1.416923076923077,0
4,1.7142857142857142,1.8,0,22,50.3,1,5.8,0.0,1.416923076923077,0
1,1.7142857142857142,1.8,0,22,50.3,0,5.8,0.0,1.8805555555555555,0
1,1.7142857142857142,1.8,0,22,50.3,0,5.8,0.0,2.1,0
3,4.142857142857143,1.0,0,23,59.5,0,5.2,0.0,1.8805555555555555,0
5,4.142857142857143,1.0,0,23,59.5,1,5.2,0.0,1.8805555555555555,0
1,4.142857142857143,1.0,1,23,59.5,0,5.2,0.0,1.8805555555555555,0
1,4.142857142857143,1.0,0,23,59.5,0,5.2,0.0,1.416923076923077,0
2,4.142857142857143,1.0,0,23,59.5,1,5.2,0.0,1.416923076923077,0
2,4.142857142857143,1.0,0,23,59.5,0,5.2,0.0,1.8805555555555555,0
9,4.142857142857143,1.0,0,23,59.5,1,5.2,0.0,1.8805555555555555,0
2,4.142857142857143,1.0,0,23,59.5,1,5.2,0.0,1.8805555555555555,0
1,4.142857142857143,1.0,0,23,59.5,1,5.2,0.0,1.416923076923077,0
1,4.142857142857143,1.0,0,23,59.5,1,5.2,0.0,1.8805555555555555,0
1,4.142857142857143,1.0,0,23,59.5,1,5.2,0.0,2.7769230769230773,0
2,4.142857142857143,1.0,0,23,59.5,1,5.2,0.0,2.1,0
1,4.142857142857143,1.0,0,23,59.5,0,5.2,0.0,1.8805555555555555,0
2,4.142857142857143,1.0,0,23,59.5,1,5.2,0.0,1.8805555555555555,0
1,4.142857142857143,1.0,0,23,59.5,0,5.2,0.0,1.8805555555555555,0
3,4.142857142857143,1.0,0,23,59.5,1,5.2,0.0,1.8805555555555555,0
1,4.142857142857143,1.0,0,23,59.5,0,5.2,0.0,2.7769230769230773,0
2,4.142857142857143,1.0,0,23,59.5,1,5.2,0.0,2.7769230769230773,0
1,4.142857142857143,1.0,0,23,59.5,0,5.2,0.0,2.1,0
2,4.142857142857143,1.0,0,23,59.5,1,5.2,0.0,2.1,0
1,4.142857142857143,1.0,0,23,59.5,0,5.2,0.0,2.5269230769230773,0
10,4.142857142857143,1.0,0,23,59.5,1,5.2,0.0,2.5269230769230773,0
2,4.142857142857143,1.0,0,23,59.5,0,5.2,0.0,2.7769230769230773,0
1,4.142857142857143,1.0,0,23,59.5,1,5.2,0.0,2.7769230769230773,0
1,4.142857142857143,1.0,0,23,59.5,1,5.2,0.0,2.1,0
1,7.142857142857142,0.0,0,26,59.4,0,6.1,0.0,1.8805555555555555,0
4,7.142857142857142,0.0,0,26,59.4,1,6.1,0.0,1.8805555555555555,0
1,7.142857142857142,0.0,0,26,59.4,0,6.1,0.0,1.8805555555555555,0
1,7.142857142857142,0.0,0,26,59.4,0,6.1,0.0,1.8805555555555555,0
4,7.142857142857142,0.0,0,26,59.4,1,6.1,0.0,1.8805555555555555,0
1,7.142857142857142,0.0,0,26,59.4,1,6.1,0.0,1.416923076923077,0
1,7.142857142857142,0.0,0,26,59.4,0,6.1,0.0,1.8805555555555555,0
1,7.142857142857142,0.0,0,26,59.4,1,6.1,0.0,1.8805555555555555,0
2,7.142857142857142,0.0,0,26,59.4,0,6.1,0.0,2.1,0
2,7.142857142857142,0.0,0,26,59.4,1,6.1,0.0,2.1,0
2,7.142857142857142,0.0,0,26,59.4,0,6.1,0.0,1.416923076923077,0
4,7.142857142857142,0.0,0,26,59.4,1,6.1,0.0,1.416923076923077,0
2,7.142857142857142,0.0,0,26,59.4,0,6.1,0.0,1.8805555555555555,0
2,7.142857142857142,0.0,0,26,59.4,1,6.1,0.0,1.8805555555555555,0
1,7.142857142857142,0.0,0,26,59.4,0,6.1,0.0,2.7769230769230773,0
1,7.142857142857142,0.0,0,26,59.4,0,6.1,0.0,2.1,0
9,7.142857142857142,0.0,0,26,59.4,1,6.1,0.0,2.1,0
1,7.142857142857142,0.0,0,26,59.4,0,6.1,0.0,1.8805555555555555,0
3,7.142857142857142,0.0,0,26,59.4,1,6.1,0.0,1.8805555555555555,0
4,7.142857142857142,0.0,0,26,59.4,1,6.1,0.0,1.8805555555555555,0
6,7.142857142857142,0.0,0,26,59.4,1,6.1,0.0,2.7769230769230773,0
2,7.142857142857142,0.0,0,26,59.4,1,6.1,0.0,2.1,0
3,7.142857142857142,0.0,0,26,59.4,0,6.1,0.0,2.5269230769230773,0
6,7.142857142857142,0.0,0,26,59.4,1,6.1,0.0,2.5269230769230773,0
1,7.142857142857142,0.0,0,26,59.4,1,6.1,0.0,2.1,0
1,7.142857142857142,0.0,0,26,59.4,0,6.1,0.0,2.7769230769230773,0
2,7.142857142857142,0.0,0,26,59.4,1,6.1,0.0,1.8805555555555555,0
1,7.142857142857142,0.0,0,26,59.4,0,6.1,0.0,1.8805555555555555,0
1,7.142857142857142,0.0,0,26,59.4,1,6.1,0.0,1.8805555555555555,0
2,7.142857142857142,0.0,0,26,59.4,1,6.1,0.0,1.8805555555555555,0
2,7.142857142857142,0.0,0,26,59.4,0,6.1,0.0,2.7769230769230773,0
1,7.142857142857142,0.0,0,26,59.4,1,6.1,0.0,2.5269230769230773,0
2,9.571428571428571,0.2,0,26,63.8,0,7.6,0.0,1.8805555555555555,0
1,9.571428571428571,0.2,0,26,63.8,0,7.6,0.0,1.416923076923077,0
2,9.571428571428571,0.2,0,26,63.8,1,7.6,0.0,1.416923076923077,0
3,9.571428571428571,0.2,0,26,63.8,1,7.6,0.0,1.8805555555555555,0
2,9.571428571428571,0.2,0,26,63.8,0,7.6,0.0,2.1,0
2,9.571428571428571,0.2,0,26,63.8,1,7.6,0.0,2.1,0
2,9.571428571428571,0.2,0,26,63.8,0,7.6,0.0,1.8805555555555555,0
2,9.571428571428571,0.2,0,26,63.8,0,7.6,0.0,2.1,0
1,9.571428571428571,0.2,0,26,63.8,1,7.6,0.0,2.1,0
1,9.571428571428571,0.2,0,26,63.8,1,7.6,0.0,1.8805555555555555,0
1,9.571428571428571,0.2,0,26,63.8,1,7.6,0.0,1.8805555555555555,0
2,9.571428571428571,0.2,0,26,63.8,1,7.6,0.0,2.7769230769230773,0
1,9.571428571428571,0.2,0,26,63.8,1,7.6,0.0,2.1,0
1,9.571428571428571,0.2,0,26,63.8,0,7.6,0.0,2.5269230769230773,0
5,9.571428571428571,0.2,0,26,63.8,1,7.6,0.0,2.5269230769230773,0
5,9.571428571428571,0.2,0,26,63.8,1,7.6,0.0,2.7769230769230773,0
1,9.571428571428571,0.2,0,26,63.8,1,7.6,0.0,1.8805555555555555,0
1,9.571428571428571,0.2,0,26,63.8,0,7.6,0.0,2.7769230769230773,0
1,9.571428571428571,0.2,0,26,63.8,0,7.6,0.0,2.5269230769230773,0
1,9.571428571428571,0.2,0,26,63.8,1,7.6,0.0,1.8805555555555555,0
1,9.571428571428571,0.2,0,26,63.8,1,7.6,0.0,2.1,0
1,9.571428571428571,0.2,0,26,63.8,0,7.6,0.0,2.5269230769230773,0
3,1.4285714285714286,0.3,0,27,53.9,0,5.9,0.0,1.8805555555555555,0
2,1.4285714285714286,0.3,0,27,53.9,1,5.9,0.0,1.8805555555555555,0
