station,date,tavg,depart,dewpoint,wetbulb,heat,cool,preciptotal,resultspeed,avgspeed,year,mth,weekofyear,darkhours,humidity,tavg_7,depart_7,dewpoint_7,wetbulb_7,heat_7,cool_7,preciptotal_7,resultspeed_7,avgspeed_7,humidity_7,darkhours_7,tavg_10,depart_10,dewpoint_10,wetbulb_10,heat_10,cool_10,preciptotal_10,resultspeed_10,avgspeed_10,humidity_10,darkhours_10
1,2007-05-01,67.0,14.0,51,56.0,0.0,2.0,0.0,1.7,9.2,2007,5,18,9.99,55.555555555555564,67.0,14.0,51.0,56.0,0.0,2.0,0.0,1.7,9.2,55.555555555555564,9.99,67.0,14.0,51.0,56.0,0.0,2.0,0.0,1.7,9.2,55.555555555555564,9.99
2,2007-05-01,68.0,14.5,51,57.0,0.0,3.0,0.0,2.7,9.6,2007,5,18,9.99,52.77777777777778,68.0,14.5,51.0,57.0,0.0,3.0,0.0,2.7,9.6,52.77777777777778,9.99,68.0,14.5,51.0,57.0,0.0,3.0,0.0,2.7,9.6,52.77777777777778,9.99
1,2007-05-02,51.0,-3.0,42,47.0,14.0,0.0,0.0,13.0,13.4,2007,5,18,9.97,75.0,51.0,-3.0,42.0,47.0,14.0,0.0,0.0,13.0,13.4,75.0,9.97,51.0,-3.0,42.0,47.0,14.0,0.0,0.0,13.0,13.4,75.0,9.97
2,2007-05-02,52.0,-1.5,42,47.0,13.0,0.0,0.0,13.3,13.4,2007,5,18,9.97,72.22222222222223,52.0,-1.5,42.0,47.0,13.0,0.0,0.0,13.3,13.4,72.22222222222223,9.97,52.0,-1.5,42.0,47.0,13.0,0.0,0.0,13.3,13.4,72.22222222222223,9.97
1,2007-05-03,56.0,2.0,40,48.0,9.0,0.0,0.0,11.7,11.9,2007,5,18,9.95,55.55555555555555,56.0,2.0,40.0,48.0,9.0,0.0,0.0,11.7,11.9,55.55555555555555,9.95,56.0,2.0,40.0,48.0,9.0,0.0,0.0,11.7,11.9,55.55555555555555,9.95
2,2007-05-03,58.0,4.5,40,50.0,7.0,0.0,0.0,12.9,13.2,2007,5,18,9.95,49.99999999999999,58.0,4.5,40.0,50.0,7.0,0.0,0.0,12.9,13.2,49.99999999999999,9.95,58.0,4.5,40.0,50.0,7.0,0.0,0.0,12.9,13.2,49.99999999999999,9.95
1,2007-05-04,58.0,4.0,41,50.0,7.0,0.0,0.0,10.4,10.8,2007,5,18,9.92,52.77777777777777,58.57142857142857,4.928571428571429,43.857142857142854,50.714285714285715,7.142857142857143,0.7142857142857143,0.0,9.385714285714286,11.64285714285714,59.126984126984134,9.962857142857144,58.0,4.0,41.0,50.0,7.0,0.0,0.0,10.4,10.8,52.77777777777777,9.92
2,2007-05-04,64.5,11.0,42,50.0,0.0,4.0,0.0,10.1,10.4,2007,5,18,9.92,37.49999999999999,58.214285714285715,4.5,42.57142857142857,49.857142857142854,7.142857142857143,1.0,0.0,10.585714285714285,11.814285714285713,56.54761904761905,9.952857142857145,64.5,11.0,42.0,50.0,0.0,4.0,0.0,10.1,10.4,37.49999999999999,9.92
1,2007-05-05,60.0,5.0,38,49.0,5.0,0.0,0.0,11.7,12.0,2007,5,18,9.9,38.8888888888889,57.07142857142857,3.142857142857143,40.714285714285715,48.714285714285715,7.857142857142857,0.5714285714285714,0.0,11.87142857142857,12.157142857142857,54.56349206349207,9.940000000000003,60.0,5.0,38.0,49.0,5.0,0.0,0.0,11.7,12.0,38.8888888888889,9.9
2,2007-05-05,60.0,6.5,39,50.0,5.0,0.0,0.0,11.2,11.5,2007,5,18,9.9,41.66666666666667,58.357142857142854,4.5,40.285714285714285,49.142857142857146,6.571428571428571,0.5714285714285714,0.0,11.614285714285714,11.885714285714284,49.80158730158731,9.930000000000005,59.45,5.7,42.6,50.4,6.0,0.9,0.0,9.870000000000001,11.54,53.19444444444444,9.946000000000002
1,2007-05-06,59.0,4.0,30,46.0,6.0,0.0,0.0,14.4,15.0,2007,5,18,9.87,19.444444444444443,59.357142857142854,5.285714285714286,38.57142857142857,49.0,5.571428571428571,0.5714285714285714,0.0,11.771428571428572,12.114285714285712,42.26190476190477,9.91571428571429,58.65,4.7,40.5,49.4,6.6,0.7,0.0,11.14,12.119999999999997,49.583333333333336,9.934000000000003
2,2007-05-06,60.0,6.5,30,46.0,5.0,0.0,0.0,13.8,14.5,2007,5,18,9.87,16.66666666666667,59.92857142857143,5.928571428571429,37.142857142857146,48.714285714285715,5.0,0.5714285714285714,0.0,12.071428571428571,12.485714285714282,36.70634920634922,9.90428571428572,57.85,3.9,38.4,48.3,7.1,0.4,0.0,12.25,12.61,45.97222222222222,9.922000000000004
1,2007-05-07,65.0,10.0,41,54.0,0.0,0.0,0.0,8.6,10.5,2007,5,19,9.85,33.33333333333334,60.92857142857143,6.714285714285714,37.285714285714285,49.285714285714285,4.0,0.5714285714285714,0.0,11.457142857142856,12.099999999999996,34.32539682539685,9.890000000000004,59.25,5.2,38.3,49.0,5.7,0.4,0.0,11.809999999999999,12.319999999999999,41.80555555555556,9.910000000000004
